Titelname	Interpret	Album	Genre	Dauer	Titelnummer	Jahr
African Fairytale	Caecilie Norby	My Corner Of The Sky	Jazz	345	5	1996
Agua De Beber	Al Jarreau	Glow	Jazz	235	3	1976
All Apologies	Herbie Hancock	The New Standard	Jazz	308	9	1996
All Blues	Miles Davis	Kind of Blue	Jazz	695	4	1959
Almost Like Being In Love	Nana Mouskouri	Nana Mouskouri in New York	Jazz	161	13	1962
Always A Use	Madeleine Peyroux	Dreamland	Jazz	161	6	1996
The Art Of How To Fall	Rebekka Bakken	The Art Of How To Fall	Jazz	225	6	2003
As The Crow Flies	Esbjoern Svensson Trio	Winter in Venice	Jazz	332	11	1999
At Saturday	Esbjoern Svensson Trio	Winter in Venice	Jazz	374	3	1999
Ballad For The Unborn	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	332	1	2003
Beggar's Blanket	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	176	5	2006
Behind The Yashmak	Esbjoern Svensson Trio	Strange Place For Snow	Jazz	626	4	2002
Believe, Beleft, Below	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	291	6	2003
Belle Affarie	Tab Two	Belle Affaire	Jazz	311	6	1996
Bemsha Swing	Esbjoern Svensson Trio	Plays Monk	Jazz	441	4	2000
The Best Thing For You	Diana Krall	When I Look In Your Eyes	Jazz	156	11	1999
Bewitched, Bothered And Bewildered	Silje Nergaard	Port Of Call	Jazz	325	2	2000
Bigfoot	Ilg, D./Copland, M./Hirshfield, F.	What's Goin' On	Jazz	385	5	1995
Birdland	Weather Report	Heavy Weather	Jazz	359	1	1977
Blue in Green	Miles Davis	Kind of Blue	Jazz	337	3	1959
Blue Rondo A La Turk	Dave Brubeck Quartet	Time Out	Jazz	405	1	1959
Blueberry Rhyme	Herbie Hancock	Gershwin's World	Jazz	211	7	1998
Blues Five Spot	Thelonious Monk	Misterioso	Jazz	497	2	1958
Blues For Pablo	Miles Davis	Miles Ahead	Jazz	318	6	1957
Blues For Pablo (Alternate Take)	Miles Davis	Miles Ahead	Jazz	212	12	1957
Bound For The Beauty Of The South	Esbjoern Svensson Trio	Strange Place For Snow	Jazz	306	5	2002
Brewery Of Beggars	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	502	4	2006
Brigitte Bardot	Amsterdam Jazz Quintet	Portraits	Jazz	324	1	1997
Bukowsky - Chapter 1	Erik Truffaz	The Dawn	Jazz	109	1	1997
But Not For Me	Nana Mouskouri	Nana Mouskouri in New York	Jazz	150	14	1962
Calling Home	Esbjoern Svensson Trio	Winter in Venice	Jazz	301	1	1999
Calling You	Caecilie Norby	My Corner Of The Sky	Jazz	325	12	1996
Carcrash	Esbjoern Svensson Trio	Strange Place For Snow	Jazz	1071	9	2002
Club Mambo	Tab Two	Belle Affaire	Jazz	197	7	1996
Come Rain Or Come Shine	Ilg, D./Copland, M./Hirshfield, F.	What's Goin' On	Jazz	440	7	1995
Concerto For Piano And Orchestra In G, 2nd Movement	Herbie Hancock	Gershwin's World	Jazz	552	13	1998
Cotton Tail	Herbie Hancock	Gershwin's World	Jazz	284	9	1998
Cover Me With Snow	Rebekka Bakken	The Art Of How To Fall	Jazz	225	3	2003
Crepscule With Nellie	Esbjoern Svensson Trio	Plays Monk	Jazz	400	10	1996
Criss Cross	Esbjoern Svensson Trio	Plays Monk	Jazz	349	2	2000
Cuban Cigars	Caecilie Norby	Queen Of Bad Excuses	Jazz	259	1	1999
Cure O'soul	Tab Two	Belle Affaire	Jazz	231	13	1996
The Dalai Lama - Peace And Compassion	Amsterdam Jazz Quintet	Portraits	Jazz	457	6	1997
Damned Black Blues	Esbjoern Svensson Trio	Winter in Venice	Jazz	256	9	1999
Dani's Delight	Marc Copland & Dieter Ilg	Two Way Street	Jazz	434	4	1993
Danny's Dreaming	Viktoria Tolstoy	My Swedish Heart	Jazz	263	7	2005
Darius Dance	Marc Copland & Dieter Ilg	Two Way Street	Jazz	460	3	1993
The Dawn	Erik Truffaz	The Dawn	Jazz	345	3	1997
Daylight Is Short In Fall	Rebekka Bakken	The Art Of How To Fall	Jazz	234	11	2003
Deep Fried	Marc Copland & Dieter Ilg	Two Way Street	Jazz	237	1	1993
Deep Fried [Reprise]	Marc Copland & Dieter Ilg	Two Way Street	Jazz	435	8	1993
Den foersta gång	Viktoria Tolstoy	My Swedish Heart	Jazz	279	6	2005
Devil May Care	Diana Krall	When I Look In Your Eyes	Jazz	200	2	1999
Dialogue	Viktoria Tolstoy	My Swedish Heart	Jazz	193	4	2005
Did They Ever Tell Cousteau?	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	365	5	2003
Do It Again	Diana Krall	When I Look In Your Eyes	Jazz	285	12	1999
Do Nothing Till You Hear From Me	Silje Nergaard	Port Of Call	Jazz	193	3	2000
Do The Jangle	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	358	2	2000
Do You Know My Love	Rebekka Bakken	The Art Of How To Fall	Jazz	210	9	2003
Dolores In A Shoestand	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	533	6	2006
Don't Cuddle That Crazy Cat	Esbjoern Svensson Trio	Winter in Venice	Jazz	158	8	1999
Don't Explain	Silje Nergaard	Port Of Call	Jazz	273	12	2000
Don't Go To Strangers	Nana Mouskouri	Nana Mouskouri in New York	Jazz	164	9	1962
Dream A Little Dream	Silje Nergaard	Port Of Call	Jazz	194	11	2000
Dreamland	Madeleine Peyroux	Dreamland	Jazz	211	10	1996
The Duke	Miles Davis	Miles Ahead	Jazz	214	3	1957
East Of The Sun (And West Of The Moon)	Diana Krall	When I Look In Your Eyes	Jazz	296	9	1999
Easy To Love	Marc Copland & Dieter Ilg	Two Way Street	Jazz	320	7	1993
Eighthundred Streets By Feet	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	408	8	2006
Eighty-Eight Days In My Veins	Esbjoern Svensson Trio	Viaticum	Jazz	502	2	2005
